TAXID	NAME	COUNT_ORTHOLOGS
taxid:9598	Pan troglodytes	17830
taxid:9595	Gorilla gorilla gorilla	17784
taxid:9597	Pan paniscus	17737
taxid:9544	Macaca mulatta	17577
taxid:9600	Pongo pygmaeus	17538
taxid:9601	Pongo abelii	17531
taxid:257877	Macaca thibetana thibetana	17375
taxid:9531	Cercocebus atys	17368
taxid:9541	Macaca fascicularis	17357
taxid:61622	Rhinopithecus roxellana	17356
taxid:9565	Theropithecus gelada	17353
taxid:61853	Nomascus leucogenys	17349
taxid:9545	Macaca nemestrina	17334
taxid:60711	Chlorocebus sabaeus	17193
taxid:54180	Trachypithecus francoisi	17185
taxid:27679	Saimiri boliviensis	17142
taxid:9483	Callithrix jacchus	17141
taxid:81572	Hylobates moloch	17095
taxid:336983	Colobus angolensis palliatus	17094
taxid:9515	Sapajus apella	17084
taxid:9568	Mandrillus leucophaeus	17048
taxid:591936	Piliocolobus tephrosceles	17026
taxid:2715852	Cebus imitator	17016
taxid:9555	Papio anubis	16983
taxid:61621	Rhinopithecus bieti	16877
taxid:37293	Aotus nancymaae	16835
taxid:10090	Mus musculus	16762
taxid:9708	Odobenus rosmarus divergens	16727
taxid:9470	Nycticebus coucang	16715
taxid:61452	Neofelis nebulosa	16686
taxid:32536	Acinonyx jubatus	16680
taxid:9691	Panthera pardus	16671
taxid:46844	Leopardus geoffroyi	16666
taxid:9685	Felis catus	16663
taxid:9704	Zalophus californianus	16657
taxid:9662	Meles meles	16655
taxid:9666	Mustela lutreola	16651
taxid:286419	Canis lupus dingo	16650
taxid:9694	Panthera tigris	16623
taxid:37029	Prionailurus bengalensis	16621
taxid:61388	Prionailurus viverrinus	16617
taxid:9669	Mustela putorius furo	16615
taxid:379532	Propithecus coquereli	16610
taxid:9447	Lemur catta	16604
taxid:77932	Diceros bicornis minor	16604
taxid:30640	Sciurus carolinensis	16603
taxid:9643	Ursus americanus	16599
taxid:61384	Lynx rufus	16597
taxid:9995	Marmota monax	16592
taxid:9913	Bos taurus	16583
taxid:575201	Hippopotamus amphibius kiboko	16567
taxid:9615	Canis lupus familiaris	16565
taxid:9657	Lutra lutra	16564
taxid:41426	Phacochoerus africanus	16561
taxid:452646	Neogale vison	16556
taxid:10116	Rattus norvegicus	16546
taxid:36723	Mustela erminea	16540
taxid:9940	Ovis aries	16531
taxid:9860	Cervus elaphus	16529
taxid:9793	Equus asinus	16529
taxid:494514	Vulpes lagopus	16525
taxid:59479	Rhinolophus ferrumequinum	16519
taxid:95912	Hyaena hyaena	16512
taxid:34880	Nyctereutes procyonoides	16510
taxid:77151	Mustela nigripes	16509
taxid:419612	Camelus ferus	16495
taxid:30611	Otolemur garnettii	16494
taxid:29088	Neomonachus schauinslandi	16492
taxid:9720	Phoca vitulina	16491
taxid:30608	Microcebus murinus	16483
taxid:1608482	Puma yagouaroundi	16480
taxid:346063	Bubalus carabanensis	16472
taxid:9767	Balaenoptera acutorostrata	16462
taxid:99487	Elephas maximus indicus	16453
taxid:29073	Ursus maritimus	16450
taxid:9823	Sus scrofa	16443
taxid:93162	Marmota flaviventris	16442
taxid:76717	Lontra canadensis	16435
taxid:9796	Equus caballus	16417
taxid:9838	Camelus dromedarius	16411
taxid:9646	Ailuropoda melanoleuca	16409
taxid:61383	Lynx canadensis	16405
taxid:9690	Panthera onca	16401
taxid:9644	Ursus arctos	16400
taxid:1884717	Pteronotus parnellii mesoamericanus	16399
taxid:89462	Bubalus bubalis	16399
taxid:34886	Eumetopias jubatus	16390
taxid:9771	Balaenoptera musculus	16387
taxid:30522	Bos indicus x Bos taurus	16386
taxid:2746895	Balaenoptera ricei	16384
taxid:9423	Phyllostomus hastatus	16383
taxid:9407	Rousettus aegyptiacus	16375
taxid:73337	Ceratotherium simum simum	16362
taxid:29078	Eptesicus fuscus	16358
taxid:9417	Artibeus jamaicensis	16356
taxid:43179	Ictidomys tridecemlineatus	16352
taxid:9925	Capra hircus	16348
taxid:9627	Vulpes vulpes	16345
taxid:9716	Mirounga angustirostris	16337
taxid:9733	Orcinus orca	16329
taxid:9994	Marmota marmota marmota	16327
taxid:9837	Camelus bactrianus	16326
taxid:564181	Peromyscus californicus insignis	16322
taxid:1574408	Cervus canadensis	16322
taxid:10036	Mesocricetus auratus	16319
taxid:391180	Enhydra lutris kenyoni	16319
taxid:30538	Vicugna pacos	16312
taxid:27622	Molossus molossus	16308
taxid:9999	Urocitellus parryii	16308
taxid:9728	Delphinus delphis	16306
taxid:10047	Meriones unguiculatus	16305
taxid:37032	Suricata suricatta	16295
taxid:10129	Apodemus sylvaticus	16293
taxid:98922	Myotis daubentonii	16291
taxid:9430	Desmodus rotundus	16278
taxid:143292	Manis pentadactyla	16275
taxid:269649	Chionomys nivalis	16273
taxid:9715	Mirounga leonina	16268
taxid:230844	Peromyscus maniculatus bairdii	16266
taxid:10093	Mus pahari	16265
taxid:29064	Panthera uncia	16265
taxid:9402	Pteropus alecto	16263
taxid:48708	Mesoplodon densirostris	16262
taxid:27610	Lagenorhynchus albirostris	16261
taxid:143291	Pteropus giganteus	16257
taxid:42100	Phocoena sinus	16246
taxid:51298	Myotis myotis	16245
taxid:90247	Lagenorhynchus obliquidens	16242
taxid:37181	Budorcas taxicolor	16239
taxid:9731	Globicephala melas	16238
taxid:27615	Kogia breviceps	16238
taxid:61156	Arvicanthis niloticus	16232
taxid:10089	Mus caroli	16231
taxid:50954	Talpa occidentalis	16221
taxid:89673	Phyllostomus discolor	16220
taxid:9739	Tursiops truncatus	16213
taxid:34839	Chinchilla lanigera	16208
taxid:27675	Choloepus didactylus	16205
taxid:9749	Delphinapterus leucas	16201
taxid:1047088	Arvicola amphibius	16194
taxid:100897	Microtus fortis	16193
taxid:40151	Monodon monoceros	16193
taxid:1026970	Nannospalax galili	16188
taxid:35658	Mastomys coucha	16185
taxid:79684	Microtus ochrogaster	16185
taxid:48139	Psammomys obesus	16184
taxid:42410	Peromyscus eremicus	16181
taxid:9978	Ochotona princeps	16178
taxid:59534	Oryx dammah	16177
taxid:68408	Moschus berezovskii	16171
taxid:127582	Trichechus manatus latirostris	16164
taxid:60746	Acomys russatus	16158
taxid:9711	Halichoerus grypus	16145
taxid:246437	Tupaia chinensis	16140
taxid:491861	Grammomys surdaster	16139
taxid:38674	Onychomys torridus	16124
taxid:51337	Jaculus jaculus	16117
taxid:10181	Heterocephalus glaber	16113
taxid:105255	Dipodomys spectabilis	16112
taxid:72004	Bos mutus	16099
taxid:59472	Pipistrellus kuhlii	16094
taxid:9365	Erinaceus europaeus	16078
taxid:9689	Panthera leo	16066
taxid:109678	Phodopus roborovskii	16057
taxid:9590	Symphalangus syndactylus	16053
taxid:1706337	Neophocaena asiaeorientalis asiaeorientalis	16033
taxid:10020	Dipodomys ordii	16005
taxid:89248	Equus quagga	16001
taxid:214514	Perognathus longimembris pacificus	16001
taxid:9755	Physeter catodon	16000
taxid:9785	Loxodonta africana	15998
taxid:186990	Hipposideros armiger	15977
taxid:10041	Peromyscus leucopus	15971
taxid:42254	Sorex araneus	15970
taxid:9361	Dasypus novemcinctus	15965
taxid:10160	Octodon degus	15962
taxid:291302	Miniopterus natalensis	15961
taxid:43346	Bison bison bison	15955
taxid:132908	Pteropus vampyrus	15908
taxid:62283	Sorex fumeus	15905
taxid:130825	Ochotona curzoniae	15900
taxid:10141	Cavia porcellus	15880
taxid:447135	Myodes glareolus	15878
taxid:9974	Manis javanica	15875
taxid:9874	Odocoileus virginianus	15850
taxid:9798	Equus przewalskii	15827
taxid:885580	Fukomys damarensis	15826
taxid:10117	Rattus rattus	15818
taxid:482537	Galeopterus variegatus	15798
taxid:9986	Oryctolagus cuniculus	15775
taxid:1230840	Orycteropus afer afer	15764
taxid:9371	Echinops telfairi	15751
taxid:192404	Sturnira hondurensis	15683
taxid:109478	Myotis brandtii	15631
taxid:118797	Lipotes vexillifer	15595
taxid:10029	Cricetulus griseus	15590
taxid:109475	Suncus etruscus	15532
taxid:225400	Myotis davidii	15494
taxid:143302	Condylura cristata	15483
taxid:33562	Dromiciops gliroides	15460
taxid:38626	Phascolarctos cinereus	15416
taxid:9696	Puma concolor	15320
taxid:38775	Antechinus flavipes	15284
taxid:9915	Bos indicus	15281
taxid:9305	Sarcophilus harrisii	15280
taxid:9337	Trichosurus vulpecula	15244
taxid:13616	Monodelphis domestica	15223
taxid:9713	Leptonychotes weddellii	15202
taxid:1868482	Carlito syrichta	15197
taxid:51338	Castor canadensis	15070
taxid:185453	Chrysochloris asiatica	15013
taxid:34884	Callorhinus ursinus	14939
taxid:191870	Gracilinanus agilis	14925
taxid:59463	Myotis lucifugus	14864
taxid:111838	Microtus oregoni	14792
taxid:9258	Ornithorhynchus anatinus	14776
taxid:9261	Tachyglossus aculeatus	14637
taxid:286002	Gopherus flavomarginatus	14636
taxid:2991368	Malaclemys terrapin pileata	14603
taxid:260615	Mauremys reevesii	14588
taxid:8469	Chelonia mydas	14555
taxid:8467	Caretta caretta	14538
taxid:27794	Dermochelys coriacea	14504
taxid:74926	Mauremys mutica	14472
taxid:65483	Podarcis raffonei	14462
taxid:8479	Chrysemys picta	14443
taxid:8496	Alligator mississippiensis	14421
